x;Gibou 280x280
-0,037984;0,002985
-0,037015;0,002977
-0,036042;0,002966
-0,035063;0,002951
-0,034078;0,002931
-0,033086;0,002904
-0,032085;0,002869
-0,031075;0,002826
-0,030054;0,002772
-0,029027;0,00271
-0,027997;0,002641
-0,02697;0,002566
-0,025951;0,002486
-0,024946;0,002403
-0,023961;0,002318
-0,023;0,002233
-0,021845;0,002129
-0,020967;0,00205
-0,019918;0,001956
-0,018926;0,001869
-0,01799;0,001791
-0,016941;0,001713
-0,015966;0,001654
-0,014919;0,001617
-0,013964;0,001625
-0,01286;0,001724
-0,011879;0,001951
-0,011013;0,002301
-0,010048;0,002878
-0,009256;0,003522
-0,008515;0,004367
-0,007972;0,00539
-0,007813;0,006622
-0,007884;0,007883
-0,008034;0,009025
-0,008268;0,010173
-0,008815;0,011242
-0,009413;0,012186
-0,010033;0,013209
-0,010616;0,014193
-0,011206;0,015202
-0,011764;0,016173
-0,012323;0,01717
-0,012869;0,01821
-0,013346;0,019338
-0,013639;0,020424
-0,013821;0,021616
-0,013898;0,022824
-0,013855;0,024051
-0,013682;0,025242
-0,013373;0,026424
-0,012927;0,027575
-0,012393;0,028634
-0,011774;0,029623
-0,011093;0,030489
-0,010337;0,03126
-0,009485;0,03198
-0,008631;0,032604
-0,007723;0,033191
-0,006781;0,033729
-0,00592;0,034159
-0,004968;0,034558
-0,003946;0,034884
-0,002932;0,035107
-0,001987;0,035253
-0,000992;0,035356
8,5e-05;0,035389
0,001026;0,035343
0,002036;0,035224
0,003081;0,035046
0,004119;0,034823
0,005108;0,03457
0,006042;0,034276
0,006957;0,033894
0,007891;0,033381
0,00875;0,032798
0,009627;0,032109
0,010482;0,031345
0,011169;0,030653
0,01197;0,029714
0,012611;0,028767
0,013103;0,027791
0,013506;0,026628
0,013754;0,02552
0,013936;0,024254
0,01404;0,023067
0,014085;0,021861
0,013918;0,020677
0,013469;0,019478
0,012967;0,018439
0,012458;0,017471
0,011913;0,016484
0,011277;0,01537
0,010686;0,014366
0,010164;0,013492
0,009578;0,012494
0,009003;0,011429
0,008485;0,010306
0,008102;0,009277
0,007804;0,008066
0,00774;0,006874
0,007949;0,005645
0,008386;0,004569
0,009041;0,003648
0,009828;0,00294
0,010701;0,002389
0,011675;0,001987
0,012655;0,001783
0,013661;0,001692
0,014683;0,00166
0,01575;0,001667
0,01669;0,001701
0,017734;0,001768
0,018801;0,00186
0,0198;0,00196
0,020732;0,002058
0,021731;0,002155
0,022805;0,002245
0,023793;0,00231
0,024845;0,002359
0,025756;0,00239
0,026857;0,002419
0,027943;0,002445
0,028808;0,002466
0,029921;0,002501
0,030908;0,002546
0,03183;0,002596
0,032899;0,002652
0,033928;0,002693
0,034908;0,00272
0,03596;0,002741
0,036877;0,002755
0,038008;0,002769
0,038965;0,00278
0,039226;0,002783
