U1,X2
0.0005979073243647104, 0.9993170278853016
0.09865470852017932, 0.9557090538791385
0.17997010463378182, 0.8997605507945174
0.22899850523168908, 0.825972979660109
0.2361733931240657, 0.7698976973206636
0.21584454409566511, 0.6959915262381937
0.18714499252615846, 0.6439588662662896
0.15246636771300448, 0.5946519602731071
0.0771300448430493, 0.5042358584898137
0.010164424514200299, 0.4288819501103184
-0.08430493273542605, 0.32201726242692297
-0.15127055306427506, 0.2411913978230774
-0.19551569506726457, 0.14946047247765526
-0.1847533632286995, 0.10570322612306993
-0.15964125560538112, 0.07701839730573645
-0.1201793721973094, 0.04972609546477891
-0.08669656203288484, 0.034735470995155726
-0.03408071748878927, 0.012937618472146362
0.0005979073243647104, 0.003420995053564191
